Date,Song Title
12/9/2012,Angels We Have Heard on High
12/9/2012,"Go, Tell It on the Mountain"
12/9/2012,"O Come, All Ye Faithful"
12/9/2012,Who is He in Yonder Stall?
12/16/2012,"Good Christian Men, Rejoice"
12/16/2012,It Came Upon the Midnight Clear
12/16/2012,"O Come, O Come, Emmanuel"
12/16/2012,The Birthday of the King
12/16/2012,The First Noel
12/23/2012,Angels We Have Heard on High
12/23/2012,Joy to the World
12/23/2012,O Holy Night
12/23/2012,That Beautiful Name
12/23/2012,What Child is This?
12/30/2012,All Hail the Lamb
12/30/2012,Blessed be the Name
12/30/2012,God of the Ages
12/30/2012,Great is thy Faithfulness
12/30/2012,His Name is Wonderful
12/30/2012,"O God, Our Help in Ages Past"
12/30/2012,There's Just Something About That Name
12/30/2012,Whiter Than Snow
1/6/2013,All Hail the Lamb
1/6/2013,I Love to Tell the Story
1/6/2013,O How He Loves You and Me
1/6/2013,Only a Sinner
1/6/2013,Redeemed
1/13/2013,All Hail the Lamb
1/13/2013,He is Exalted
1/13/2013,It's Just Like His Great Love
1/13/2013,Let the Lower Lights be Burning
1/13/2013,My Hope is in the Lord
1/13/2013,"Soldiers of Christ, Arise"
1/20/2013,Amazing Grace
1/20/2013,He Hideth my Soul
1/20/2013,He's Everything to Me
1/20/2013,I Need Jesus
1/20/2013,It's Just Like His Great Love
1/20/2013,No One Ever Cared for Me Like Jesus
1/20/2013,Saved by Grace
1/20/2013,"Thank You, Jesus"
1/20/2013,The Wonder of It All
1/27/2013,All Hail the Lamb
1/27/2013,It's Just Like His Great Love
1/27/2013,My Tribute
1/27/2013,O Glorious Day
2/3/2013,As the Deer
2/3/2013,Be Thou My Vision
2/3/2013,Lamb of Glory
2/3/2013,Lamb of God
2/3/2013,Wonderful Words of Life
2/3/2013,Worthy is the Lamb
2/10/2013,Family of God
2/10/2013,He Lifted Me
2/10/2013,I Will Sing of the Mercies
2/10/2013,I'll Tell the World That I'm a Christian
2/10/2013,It Took a Miracle
2/10/2013,Our God Reigns
2/10/2013,Victory in Jesus
2/10/2013,Were You There?
2/17/2013,Bring Back the Springtime
2/17/2013,Jesus Bids Us Shine
2/17/2013,Make Me a Blessing
2/17/2013,Send the Light
2/24/2013,"Holy, Holy, Holy"
2/24/2013,How Great Thou Art
2/24/2013,How Majestic is Your Name
2/24/2013,My Anchor Holds
2/24/2013,Take Time to be Holy
2/24/2013,We Have an Anchor
3/3/2013,Face to Face
3/3/2013,In Times Like These
3/3/2013,It is Well With my Soul
3/3/2013,Revelation Song
3/3/2013,The Way of the Cross Leads Home
3/3/2013,What If It Were Today
3/3/2013,What a Friend We Have in Jesus
3/10/2013,A Child of the King
3/10/2013,Amazing Grace
3/10/2013,Jesus is Coming Again
3/10/2013,"Lead On, O King Eternal"
3/10/2013,My Hope is in the Lord
3/10/2013,Praise Him! Praise Him!
3/10/2013,"Praise, my Soul, the King of Heaven"
3/17/2013,"And, Can It Be?"
3/17/2013,Be Exalted
3/17/2013,God Leads Us Along
3/17/2013,I Will Call Upon the Lord
3/17/2013,The Comforter Has Come
3/17/2013,When We All Get to Heaven
3/24/2013,All Hail King Jesus
3/24/2013,All Hail the Lamb
3/24/2013,All Hail the Power of Jesus' Name
3/24/2013,Clap Your Hands
3/24/2013,Crown Him With Many Crowns
3/24/2013,Lamb of God
3/24/2013,Your Great Name
3/31/2013,Because He Lives
3/31/2013,How Deep the Father's Love for Us
3/31/2013,I Will Rise
3/31/2013,Man of Sorrows
3/31/2013,One Day
3/31/2013,"O Sacred Head, Now Wounded"
4/6/2013,All in All
4/6/2013,His Name is Wonderful
4/6/2013,If That Isn't Love
4/6/2013,O for a Thousand Tongues to Sing
4/6/2013,Step by Step
4/6/2013,Your Grace Still Amazes Me
4/13/2013,For Me to Live is Christ
4/13/2013,Heaven Came Down
4/13/2013,O to be Like Thee
4/13/2013,Take my Life and Let It be
4/13/2013,Turn Your Eyes Upon Jesus
4/21/2013,Great is thy Faithfulness
4/21/2013,He Giveth More Grace
4/21/2013,He Has Made Me Glad
4/21/2013,His Name Shall be Praised
4/21/2013,The Joy of the Lord
5/5/2013,At the Cross
5/5/2013,The Power of the Cross
5/5/2013,The Blood Will Never Lose Its Power
5/5/2013,The Old Rugged Cross
5/5/2013,There is a Fountain
5/5/2013,There is a Redeemer
5/5/2013,When I Survey the Wondrous Cross
5/12/2013,All Hail the Lamb
5/12/2013,"Change my Heart, O God"
5/12/2013,Glorify thy Name
5/12/2013,Great is the Lord
5/12/2013,He is Exalted
5/12/2013,How Majestic is Your Name
5/12/2013,"Joyful, Joyful We Adore Thee"
5/12/2013,"Spirit of God, Descend Upon my Heart"
5/19/2013,Amazing Grace
5/19/2013,Footsteps of Jesus
5/19/2013,How Firm a Foundation
5/19/2013,In Christ Alone
5/19/2013,Sweeter as the Years Go by
5/19/2013,To God be the Glory
5/19/2013,To be God's People
5/19/2013,"We Come, O Christ, to You"
5/26/2013,"Eternal Father, Strong to Save"
5/26/2013,I Will Sing of the Mercies
5/26/2013,Only a Sinner
5/26/2013,Sanctuary
5/26/2013,Since I Have Been Redeemed
5/26/2013,The Wonder of It All
6/1/2013,"Arise, My Soul, Arise"
6/1/2013,"May the Mind of Christ, my Savior"
6/1/2013,"O Church, Arise"
6/1/2013,Revive Us Again
6/1/2013,Trust and Obey
6/8/2013,Amazing Grace
6/8/2013,Blessed Assurance
6/8/2013,How Long Has It Been?
6/8/2013,I Know Whom I Have Believed
6/8/2013,"Lord, I Need You"
6/8/2013,"O Church, Arise"
6/8/2013,Turn Your Eyes Upon Jesus
6/15/2013,Faith of Our Fathers
6/15/2013,How Deep the Father's Love for Us
6/15/2013,Let the Lower Lights be Burning
6/15/2013,To be God's People
6/15/2013,We Are God's People
6/15/2013,We Will Glorify
6/23/2013,He's Everything to Me
6/23/2013,I Will Serve Thee
6/23/2013,Make Me a Blessing
6/23/2013,Only One Life
6/23/2013,"Open Our Eyes, Lord"
6/30/2013,"Jesus, Name Above All Names"
6/30/2013,"O Church, Arise"
6/30/2013,Praise the Savior
6/30/2013,"Rejoice, the Lord is King"
6/30/2013,Spirit of the Living God
7/7/2013,All Hail the Lamb
7/7/2013,I'll Fly Away by
7/7/2013,Lamb of Glory
7/7/2013,Lamb of God
7/7/2013,There is a Redeemer
7/14/2013,I Will Call Upon the Lord
7/14/2013,O Worship the King
7/14/2013,Thou Art Worthy
7/14/2013,Worthy is the Lamb
7/28/2013,"Holy, Holy, Holy"
7/28/2013,Jesus is Lord of Everything
7/28/2013,More About Jesus
7/28/2013,O How He Loves You and Me
7/28/2013,"Praise to the Lord, the Almighty"
8/4/2013,As the Deer
8/4/2013,Jesus Loves Even Me
8/4/2013,Lead Me to Calvary
8/4/2013,May Jesus Christ be Praised
8/4/2013,"O, How I Love Jesus"
8/4/2013,Take my Life and Let It be
8/11/2013,A Child of the King
8/11/2013,Amazing Grace
8/11/2013,Be Exalted
8/11/2013,For Me to Live is Christ
8/11/2013,It Took a Miracle
8/11/2013,It is Well With my Soul
8/11/2013,Jesus Bids Us Shine
8/11/2013,Turn Your Eyes Upon Jesus
8/18/2013,Blessed be the Tie That Binds
8/18/2013,"Love Divine, All Loves Excelling"
8/18/2013,Make Us One
8/18/2013,The Love of God
8/18/2013,The Solid Rock
8/25/2013,I Need Jesus
8/25/2013,I Need Thee Every Hour
8/25/2013,In Christ Alone
8/25/2013,It is Well With my Soul
8/25/2013,The Wonderful Cross
9/1/2013,All Hail the Lamb
9/1/2013,All Hail the Power of Jesus' Name
9/1/2013,How Deep the Father's Love for Us
9/1/2013,I Know Whom I Have Believed
9/1/2013,When We See Christ
9/8/2013,"Father, I Adore You"
9/8/2013,For God so Loved the World
9/8/2013,"I Love You, Lord"
9/8/2013,Seek Ye First
9/8/2013,Set my Soul Afire
9/8/2013,"Yesterday, Today and Tomorrow"
9/15/2013,"Arise, My Soul, Arise"
9/15/2013,He is Exalted
9/15/2013,Make Us One
9/15/2013,"Onward, Christian Soldiers"
9/22/2013,Higher Ground
9/22/2013,I Am Resolved
9/22/2013,Make Us One
9/22/2013,Shout to the Lord
9/22/2013,The Battle Belongs to the Lord
9/29/2013,Glorify thy Name
9/29/2013,"I Love You, Lord"
9/29/2013,Oh How He Loves You and Me
9/29/2013,The Love of God
9/29/2013,The Wonder of It All
10/6/2013,All Creatures of Our God and King
10/6/2013,"Come, People of the Risen King"
10/6/2013,Does Jesus Care?
10/6/2013,"Hallelujah, What a Savior!"
10/6/2013,My Faith Looks up to Thee
10/6/2013,There is a Redeemer
10/13/2013,"Lead On, O King Eternal"
10/13/2013,"O Church, Arise"
10/13/2013,"Stand Up, Stand up for Jesus"
10/13/2013,You Are my Fortress
10/20/2013,All Hail the Lamb
10/20/2013,He is Lord
10/20/2013,"Holy, Holy, Holy"
10/20/2013,Jesus Messiah
10/20/2013,We Will Glorify
10/27/2013,Amazing Grace
10/27/2013,As the Deer
10/27/2013,My Anchor Holds
10/27/2013,Sanctuary
10/27/2013,Under His Wings
11/3/2013,All That Thrills my Soul
11/3/2013,Be Thou My Vision
11/3/2013,"Change my Heart, O God"
11/3/2013,I Will Sing of the Mercies
11/3/2013,"O, Love That Will Not Let Me Go"
11/3/2013,"Open Our Eyes, Lord"
11/10/2013,Cleanse Me
11/10/2013,"Come, People of the Risen King"
11/10/2013,I Would be Like Jesus
11/10/2013,In Christ Alone
11/10/2013,O Jesus I Have Promised
11/10/2013,Overcome
11/17/2013,Blessed Assurance
11/17/2013,How Deep the Father's Love for Us
11/17/2013,"Jesus, Name Above All Names"
11/17/2013,Near the Cross
11/17/2013,Only a Sinner
11/24/2013,"Come, Christians, Join to Sing"
11/24/2013,"Come, Ye Thankful People, Come"
11/24/2013,Glorify Your Name
11/24/2013,"Lord, I Need You"
11/24/2013,My Faith Has Found a Resting Place
11/24/2013,"Thank You, Lord"
12/1/2013,"And, Can It Be?"
12/1/2013,"Angels, From the Realms of Glory"
12/1/2013,Emmanuel
12/1/2013,"O, Come, Let Us Adore Him"
12/1/2013,Who is He in Yonder Stall?
12/8/2013,A Child of the King
12/8/2013,All Hail the Power of Jesus' Name
12/8/2013,Great is thy Faithfulness
12/8/2013,He is Lord
12/8/2013,"O Come, All Ye Faithful"
12/15/2013,Hark! the Herald Angels Sing!
12/15/2013,The Birthday of the King
12/15/2013,Thou Didst Leave thy Throne
12/15/2013,You're Here
12/22/2013,Angels We Have Heard on High
12/22/2013,"Go, Tell It on the Mountain"
12/22/2013,"Good Christian Men, Rejoice"
12/22/2013,Joy to the World
12/22/2013,"O Come, O Come, Emmanuel"
12/22/2013,O Holy Night
12/22/2013,O Little Town of Bethlehem
12/22/2013,The First Noel
12/29/2013,All Hail the Lamb
12/29/2013,"Jesus, Name Above All Names"
12/29/2013,One Day
12/29/2013,Redeemed
12/29/2013,Shepherd of Love
1/5/2014,"Brethren, We Have Met to Worship"
1/5/2014,"In my Life Lord, be Glorified"
1/5/2014,Let Your Heart be Broken
1/5/2014,Shout to the Lord
1/5/2014,To God be the Glory
1/12/2014,Glorify Your Name
1/12/2014,It is Well With my Soul
1/12/2014,Jesus Bids Us Shine
1/12/2014,The Power of the Cross
1/12/2014,Spirit of the Living God
1/19/2014,Fearfully and Wonderfully Made
1/19/2014,I Will Sing of the Mercies
1/19/2014,O How He Loves You and Me
1/19/2014,The Love of God
1/19/2014,The Wonder of It All
1/26/2014,Crown Him With Many Crowns
1/26/2014,"Father, I Adore You"
1/26/2014,His Name is Wonderful
1/26/2014,"Holy, Holy, Holy"
1/26/2014,There is a Redeemer
2/2/2014,"Change my Heart, O God"
2/2/2014,"Come, People of the Risen King"
2/2/2014,How Deep the Father's Love for Us
2/2/2014,"I Love You, Lord"
2/2/2014,My Savior's Love
2/2/2014,"O, How I Love Jesus"
2/16/2014,Amazing Grace
2/16/2014,As the Deer
2/16/2014,Grace Greater Than Our Sin
2/16/2014,Wonderful Grace of Jesus
2/16/2014,Wonderful Jesus
2/23/2014,Give Me Jesus
2/23/2014,It's Just Like His Great Love
2/23/2014,O How He Loves You and Me
2/23/2014,The Blood Will Never Lose Its Power
2/23/2014,The Mercies of God
2/23/2014,There is Power in the Blood
3/2/2014,By Our Love
3/2/2014,Great is thy Faithfulness
3/2/2014,In Christ Alone
3/2/2014,Jesus Loves Me
3/2/2014,What a Friend We Have in Jesus
3/2/2014,The Wonderful Cross
3/2/2014,There is a Fountain
3/2/2014,Thou Art Worthy
3/9/2014,"And, Can It Be?"
3/9/2014,He Hideth my Soul
3/9/2014,My Tribute
3/9/2014,Shout to the Lord
3/9/2014,The Love of God
3/9/2014,You Grace Still Amazes Me
3/16/2014,How Great Thou Art
3/16/2014,How Deep the Father's Love for Us
3/16/2014,"Lord, I Need You"
3/16/2014,Under His Wings
3/23/2014,All Hail the Lamb
3/23/2014,All That Thrills my Soul
3/23/2014,I Surrender
3/23/2014,Jesus is All the World to Me
3/23/2014,"Jesus, Name Above All Names"
3/23/2014,O Glorious Day
3/23/2014,Saved by the Blood
3/23/2014,"Saved, Saved"
3/23/2014,You Are my All in All
3/30/2014,Be Thou My Vision
3/30/2014,By Our Love
3/30/2014,How Long Has It Been?
3/30/2014,Make Us One
3/30/2014,"O Church, Arise"
3/30/2014,The Love of God
4/6/2014,"O, How I Love Jesus"
4/6/2014,"In my Life Lord, be Glorified"
4/6/2014,Lamb of Glory
4/6/2014,"O, Love That Will Not Let Me Go"
4/6/2014,O Worship the King
4/6/2014,"Oh the Deep, Deep Love"
4/6/2014,Pass It on
4/13/2014,All Hail King Jesus
4/13/2014,A Child of the King
4/13/2014,Crown Him With Many Crowns
4/13/2014,"Rejoice, the Lord is King"
4/27/2014,Great is the Lord
4/27/2014,It is Well With my Soul
4/27/2014,"Praise the Lord! Ye Heavens, Adore Him"
4/27/2014,Revelation Song
4/27/2014,We Will Glorify
5/4/2014,All Hail the Lamb
5/4/2014,"Hallelujah, What a Savior!"
5/4/2014,"O, Come, Let Us Adore Him"
5/4/2014,"Oh the Deep, Deep Love"
5/4/2014,There is a Redeemer
5/4/2014,Turn Your Eyes Upon Jesus
5/4/2014,Worship Christ the Risen King
5/11/2014,Face to Face
5/11/2014,Glorify thy Name
5/11/2014,I Will Rise
5/11/2014,My Savior's Love
5/11/2014,"Praise to the Lord, the Almighty"
5/18/2014,Higher Ground
5/18/2014,Whiter Than Snow
5/18/2014,It is Well With my Soul
5/18/2014,"If You're 27 Like Me: 2, Weeks"
5/18/2014,In Christ Alone
5/18/2014,Worthy is the Lamb
5/25/2014,Give Me Jesus
5/25/2014,I Am Resolved
5/25/2014,"May the Mind of Christ, my Savior"
5/25/2014,Near to the Heart of God
6/1/2014,"""Are Ye Able,"" Said the Master"
6/1/2014,Am I a Soldier of the Cross?
6/1/2014,"My Jesus, I Love Thee"
6/1/2014,The Wonder of It All
6/1/2014,Your Grace Still Amazes Me
6/8/2014,Blessed be the Name
6/8/2014,"Here Am I, Lord"
6/8/2014,"O Church, Arise"
6/8/2014,"Onward, Christian Soldiers"
6/8/2014,Revive Us Again
6/8/2014,Spirit of the Living God
6/15/2014,"Come, People of the Risen King"
6/15/2014,He is Exalted
6/15/2014,Jesus is Lord of Everything
6/15/2014,Seek Ye First
6/15/2014,This is my Father's World
6/15/2014,When We See Christ
6/22/2014,God is so Wonderful
6/22/2014,He Giveth More Grace
6/22/2014,Listen to His Voice
6/22/2014,The Wonderful Cross
6/22/2014,Wonderful Jesus
6/22/2014,You Are my Fortress
6/29/2014,Heaven Came Down
6/29/2014,Just a Closer Walk With Thee
6/29/2014,O Glorious Day
6/29/2014,Take Time to be Holy
6/29/2014,To be God's People
7/6/2014,"My Country, Tis of Thee"
7/6/2014,"Arise, My Soul, Arise"
7/6/2014,Battle Hymn of the Republic
7/6/2014,If my People's Hearts Are Humbled
7/6/2014,Lead Me to Calvary
7/6/2014,"Rise Up, o Church of God"
7/13/2014,At the Cross
7/13/2014,In Christ Alone
7/13/2014,Only a Sinner
7/13/2014,The Blood Will Never Lose Its Power
7/13/2014,The Family of God
7/13/2014,We Will Glorify
7/20/2014,All Hail the Lamb
7/20/2014,God Leads Us Along
7/20/2014,Lamb of God
7/20/2014,"Savior, Like a Shepherd Lead Us"
7/20/2014,Shepherd of Love
7/27/2014,My Anchor Holds
7/27/2014,Sanctuary
7/27/2014,Standing on the Promises
7/27/2014,The Church's One Foundation
7/27/2014,The Solid Rock
7/27/2014,Thy Word
7/27/2014,We Have an Anchor
7/27/2014,He Has Made Me Glad
7/27/2014,This is the Day
7/27/2014,As the Deer
7/27/2014,Be Thou My Vision
8/3/2014,Glory to His Name
8/3/2014,He is Able to Deliver Thee
8/3/2014,His Name is Wonderful
8/3/2014,"I Am Thine, o Lord"
8/3/2014,Judge of the Secrets
8/3/2014,"Open Our Eyes, Lord"
8/3/2014,The Gospel Song
8/3/2014,The Look
8/10/2014,Be Thou My Vision
8/10/2014,How Great Thou Art
8/10/2014,The Gospel Song
8/10/2014,O Worship the King
8/10/2014,There is a Redeemer
8/17/2014,Wonderful Grace of Jesus
8/24/2014,"Come, People of the Risen King"
8/24/2014,He is King
8/24/2014,"Holy, Holy, Holy"
8/24/2014,There's Just Something About That Name
8/24/2014,Thou Art Worthy
8/31/2014,All Hail the Lamb
8/31/2014,"Father, I Adore You"
8/31/2014,I Will Sing the Wondrous Story
8/31/2014,Jesus Paid It All
8/31/2014,Jesus is the Sweetest Name I Know
8/31/2014,Victory in Jesus
9/7/2014,Alleluia! Sing to Jesus
9/7/2014,Before the Throne of God Above
9/7/2014,"Come, Thou Almighty King"
9/7/2014,Jesus is Lord of All
9/7/2014,Judge of the Secrets
9/7/2014,We Will Glorify
9/14/2014,As the Deer
9/14/2014,Heaven Came Down
9/14/2014,"Rejoice, the Lord is King"
9/14/2014,The Gospel Song
9/14/2014,The Love of God
9/14/2014,The Wonder of It All
9/21/2014,'Tis so Sweet to Trust in Jesus
9/21/2014,Before the Throne of God Above
9/21/2014,I Will Sing of the Mercies
9/21/2014,Just Over in the Glory Land
9/21/2014,O Worship the King
9/21/2014,Saved by Grace
9/21/2014,Worthy is the Lamb
9/28/2014,All Hail the Lamb
9/28/2014,All Hail the Power of Jesus' Name
9/28/2014,Behold Our God
9/28/2014,"Change my Heart, O God"
9/28/2014,How Deep the Father's Love for Us
9/28/2014,"Immortal, Invisible"
9/28/2014,Lamb of Glory
9/28/2014,Open the Eyes of my Heart
10/5/2014,All Hail King Jesus
10/5/2014,Blessed Assurance
10/5/2014,Great is the Lord
10/5/2014,"O, Come, Let Us Adore Him"
10/5/2014,Praise Him! Praise Him!
10/5/2014,Redeemed
10/12/2014,All That Thrills my Soul
10/12/2014,Behold Our God
10/12/2014,He is Exalted
10/12/2014,"Oh the Deep, Deep Love"
10/12/2014,Turn Your Eyes Upon Jesus
10/12/2014,What Are the Decrees of God?
10/19/2014,In Christ Alone
10/19/2014,Let the Lower Lights be Burning
10/19/2014,Man of Sorrows
10/19/2014,Satisfied
10/19/2014,Send the Light
10/19/2014,To be God's People
10/26/2014,Amazing Grace
10/26/2014,I Surrender
10/26/2014,Victory in Jesus
10/26/2014,What a Friend We Have in Jesus
11/2/2014,A Mighty Fortress is Our God
11/2/2014,God of the Ages
11/2/2014,None but Jesus
11/2/2014,"O Church, Arise"
11/2/2014,The Battle Belongs to the Lord
11/9/2014,Am I a Soldier of the Cross?
11/9/2014,God Leads Us Along
11/9/2014,How Firm a Foundation
11/9/2014,It is Well With my Soul
11/16/2014,All the Way my Savior Leads Me
11/16/2014,Behold Our God
11/16/2014,He is Lord
11/16/2014,I Am Resolved
11/16/2014,Near to the Heart of God
11/16/2014,Overcome
11/16/2014,You Are my All in All
11/23/2014,Give Thanks
11/23/2014,Grace Greater Than Our Sin
11/23/2014,My Heart is Filled With Thankfulness
11/23/2014,Thou Art Worthy
11/23/2014,"We Praise Thee, o God, Our Redeemer"
11/30/2014,"Be Still, My Soul"
11/30/2014,Jesus Bids Us Shine
11/30/2014,My Faith Has Found a Resting Place
11/30/2014,"O, Love That Will Not Let Me Go"
11/30/2014,Trusting Jesus
11/30/2014,Your Grace Still Amazes Me
12/7/2014,"Change my Heart, O God"
12/7/2014,The Joy of the Lord
12/7/2014,Judge of the Secrets
12/7/2014,"O Come, All Ye Faithful"
12/7/2014,The Way of the Cross Leads Home
12/7/2014,The Wonderful Cross
12/14/2014,"Come, Thou Almighty King"
12/14/2014,"Come, Christians, Join to Sing"
12/14/2014,Hark! the Herald Angels Sing!
12/14/2014,"Immortal, Invisible"
12/14/2014,Thou Didst Leave thy Throne
12/14/2014,Who is He in Yonder Stall?
12/21/2014,Away in a Manger
12/21/2014,Emmanuel
12/21/2014,"Mary, Did You Know?"
12/21/2014,"O Come, All Ye Faithful"
12/21/2014,"O Come, O Come, Emmanuel"
12/21/2014,O Holy Night
12/21/2014,The Birthday of the King
12/21/2014,What Child is This?
12/21/2014,You're Here
12/28/2014,All Hail King Jesus
12/28/2014,A Child of the King
12/28/2014,Glorify Your Name
12/28/2014,How Great Thou Art
1/11/2015,Because He Lives
1/11/2015,Before the Throne of God Above
1/11/2015,Jesus Loves Me
1/11/2015,My Faith Looks up to Thee
1/11/2015,Only Trust Him
1/18/2015,He is Exalted
1/18/2015,He is King
1/18/2015,"Holy, Holy, Holy"
1/18/2015,I Sing the Mighty Power of God
1/18/2015,Thy Word
1/18/2015,Until Then
1/25/2015,All Hail the Lamb
1/25/2015,Always the Same
1/25/2015,"Hallelujah, What a Savior!"
1/25/2015,In Times Like These
1/25/2015,Standing on the Promises
1/25/2015,Surely Goodness and Mercy
2/1/2015,He's Everything to Me
2/1/2015,I Know Whom I Have Believed
2/1/2015,"Lord, I Need You"
2/1/2015,"Open Our Eyes, Lord"
2/1/2015,Shout to the Lord
2/1/2015,The Gospel Song
2/8/2015,Be Thou My Vision
2/8/2015,I Love to Tell the Story
2/8/2015,I Will Sing the Wondrous Story
2/8/2015,In Christ Alone
2/8/2015,Lamb of Glory
2/8/2015,One Day
2/15/2015,All Hail King Jesus
2/15/2015,"And, Can It Be?"
2/15/2015,"Praise to the Lord, the Almighty"
2/15/2015,The King is Coming
2/15/2015,What a Mighty God We Serve
2/22/2015,Make Us One
2/22/2015,My Hope is in the Lord
2/22/2015,"O Church, Arise"
2/22/2015,The Battle Belongs to the Lord
